postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-24T17:47:43-0700,2015-11-24T17:47:43-0700",5331135392,"||Open, Loft-style 2 Bedroom with Exquisite Views!||",3196,,-104.987926,2,39.730558,//denver.craigslist.org/apa/5331135392.html,22,2.0,Nov 24,"2015-11-24T17:47:43-0700,2015-11-24T17:47:43-0700",1785,9,0
"2015-11-11T10:23:53-0700,2015-11-11T10:23:53-0700,2015-11-24T17:59:57-0700",5310909709,Ask about our 1/2 month free! Sherman Commons!,995,,-104.985028,1,39.716337,//denver.craigslist.org/apa/5310909709.html,12,1.0,Nov 24,"2015-11-11T10:23:53-0700,2015-11-11T10:23:53-0700,2015-11-24T17:59:57-0700",469,5,0
"2015-11-24T18:05:31-0700,2015-11-24T18:05:31-0700",5331155515,Last Two Bedroom Available! - Waiving FEES Plus $500!,1440,,-104.969736,2,39.738386,//denver.craigslist.org/apa/5331155515.html,15,1.0,Nov 24,"2015-11-24T18:05:31-0700,2015-11-24T18:05:31-0700",647,23,0
"2015-11-24T17:50:30-0700,2015-11-24T17:50:30-0700",5331138702,GOLDEN/LAKEWOOD,1595,,-105.164738,3,39.722461,//rockies.craigslist.org/apa/5331138702.html,0,2.5,Nov 24,"2015-11-24T17:50:30-0700,2015-11-24T17:50:30-0700",2400,20,0
"2015-11-24T18:06:07-0700,2015-11-24T18:06:07-0700",5331156153,Pay No Rent Till 2016! Fantastic Special! Large One Bedroom Available!,1199,,-105.114162,1,39.660558,//denver.craigslist.org/apa/5331156153.html,13,1.0,Nov 24,"2015-11-24T18:06:07-0700,2015-11-24T18:06:07-0700",745,59,0
"2015-11-24T18:05:17-0700,2015-11-24T18:05:17-0700",5331155274,Top Floor Two Bedroom... W/D Hookups... Ready NOW,875,,-104.774231,2,38.910293,//cosprings.craigslist.org/apa/5331155274.html,6,1.0,Nov 24,"2015-11-24T18:05:17-0700,2015-11-24T18:05:17-0700",850,24,0
"2015-11-24T18:05:45-0700,2015-11-24T18:05:45-0700",5331155758,2 Bedroom Apartment Available TODAY!,875,,-104.77335,2,38.91174,//cosprings.craigslist.org/apa/5331155758.html,6,1.0,Nov 24,"2015-11-24T18:05:45-0700,2015-11-24T18:05:45-0700",867,23,0
"2015-11-24T18:07:57-0700,2015-11-24T18:07:57-0700",5331158142,24 hour fitness center and garages COMING SOON!!,1051,,-104.842505,2,38.805192,//cosprings.craigslist.org/apa/5331158142.html,8,1.5,Nov 24,"2015-11-24T18:07:57-0700,2015-11-24T18:07:57-0700",915,12,0
"2015-11-24T18:01:22-0700,2015-11-24T18:01:22-0700",5331150949,VAIL VALLEY-WEEKEND RENTAL (Every weekend of the Season),1000,,-106.587625,1,39.648571,//denver.craigslist.org/apa/5331150949.html,8,,Nov 24,"2015-11-24T18:01:22-0700,2015-11-24T18:01:22-0700",,31,0
"2015-11-24T18:08:29-0700,2015-11-24T18:08:29-0700",5331158720,Don't miss this fabulous apartment home in Highly Desirable Location!,1270,,-104.871712,1,39.551111,//denver.craigslist.org/apa/5331158720.html,2,1.0,Nov 24,"2015-11-24T18:08:29-0700,2015-11-24T18:08:29-0700",970,24,0
"2015-11-24T18:06:40-0700,2015-11-24T18:06:40-0700",5331156759,"Walk to Trader Joe's and Safeway, Pablo's Coffee and Angelo's Nearby!",1430,,-104.977636,1,39.724087,//denver.craigslist.org/apa/5331156759.html,18,1.0,Nov 24,"2015-11-24T18:06:40-0700,2015-11-24T18:06:40-0700",702,14,0
"2015-11-15T10:36:06-0700,2015-11-15T10:36:06-0700,2015-11-24T17:58:31-0700",5317031756,LIMITED AVAILABILITY - Reserve today!,530,,-104.7399,1,38.886,//cosprings.craigslist.org/apa/5317031756.html,20,1.0,Nov 24,"2015-11-15T10:36:06-0700,2015-11-15T10:36:06-0700,2015-11-24T17:58:31-0700",460,18,0
"2015-11-21T12:21:26-0700,2015-11-21T12:21:26-0700,2015-11-24T18:03:52-0700",5326259830,Fantastic Remodel by Fitzimons/University Hospital,1495,,-104.881147,3,39.737713,//denver.craigslist.org/apa/5326259830.html,15,1.0,Nov 24,"2015-11-21T12:21:26-0700,2015-11-21T12:21:26-0700,2015-11-24T18:03:52-0700",1468,2,0
"2015-11-24T17:46:59-0700,2015-11-24T17:46:59-0700",5331134535,Luxury upgrades with bamboo flooring track lighting and much more!,1845,,,1,,//denver.craigslist.org/apa/5331134535.html,11,1.0,Nov 24,"2015-11-24T17:46:59-0700,2015-11-24T17:46:59-0700",715,11,0
"2015-11-24T18:09:19-0700,2015-11-24T18:09:19-0700",5331159653,3-2-2 Longmont Idaho Creek $1550,1550,,-104.987748,3,40.157679,//boulder.craigslist.org/apa/5331159653.html,3,,Nov 24,"2015-11-24T18:09:19-0700,2015-11-24T18:09:19-0700",,1,0
"2015-11-24T17:54:39-0700,2015-11-24T17:54:39-0700",5331143402,"One-Bedroom, One-Bathroom Home with Updated Lighting",1320,,,1,,//denver.craigslist.org/apa/5331143402.html,5,1.0,Nov 24,"2015-11-24T17:54:39-0700,2015-11-24T17:54:39-0700",1055,20,0
"2015-11-24T18:08:52-0700,2015-11-24T18:08:52-0700",5331159163,Don't miss out apartments going quick!!,896,,-104.842505,1,38.805192,//cosprings.craigslist.org/apa/5331159163.html,7,1.0,Nov 24,"2015-11-24T18:08:52-0700,2015-11-24T18:08:52-0700",610,27,0
"2015-11-24T18:07:51-0700,2015-11-24T18:07:51-0700",5331158019,"Coffee Café, Elevators, Hot Tub, Designer Glass Back Splash",2075,,,2,,//denver.craigslist.org/apa/5331158019.html,23,2.0,Nov 24,"2015-11-24T18:07:51-0700,2015-11-24T18:07:51-0700",1250,29,0
"2015-11-24T18:08:41-0700,2015-11-24T18:08:41-0700",5331158944,One Bedroom Townhome With Garage Ready Now!,1622,,-104.931491,1,39.703812,//denver.craigslist.org/apa/5331158944.html,6,1.0,Nov 24,"2015-11-24T18:08:41-0700,2015-11-24T18:08:41-0700",831,25,0
"2015-11-24T18:10:14-0700,2015-11-24T18:10:14-0700",5331160685,Spacious and inviting 1bd/1ba centrally located! W/D included!!,1156,,-104.870759,1,39.669856,//denver.craigslist.org/apa/5331160685.html,6,1.0,Nov 24,"2015-11-24T18:10:14-0700,2015-11-24T18:10:14-0700",910,53,0
"2015-11-24T18:12:28-0700,2015-11-24T18:12:28-0700",5331163048,"Shimmering Pool, Pets Welcome, Close to Shopping",2707,,-104.944873,2,39.710465,//denver.craigslist.org/apa/5331163048.html,6,2.0,Nov 24,"2015-11-24T18:12:28-0700,2015-11-24T18:12:28-0700",1156,38,0
"2015-11-16T11:55:42-0700,2015-11-16T11:55:42-0700,2015-11-24T18:05:57-0700",5318650523,"Air Conditioning, Modern 1, 2 & 3 Bedroom Floor Plans, Walk in Closets",,,-104.962798,1,39.884979,//denver.craigslist.org/apa/5318650523.html,11,1.0,Nov 24,"2015-11-16T11:55:42-0700,2015-11-16T11:55:42-0700,2015-11-24T18:05:57-0700",742,23,0
