5332417585,,2,,
5321567143,,3,,
5322036104,1740,3,2,
5332252928,1600,2,2.5,
5332181179,700,1,1,
5332166858,,2,,
5332181804,938,2,2,
5332172480,1344,3,2,
5332173302,,2,,
5310040434,3300,4,4.5,
5332380687,1072,2,2,
5332432779,,3,,
5332351068,,2,,
5332395068,1450,3,2,
5332379654,,1,,
5332340162,1087,2,2,
5332387262,800,1,1,
5332390780,700,1,1,
5332275824,,0,,
5332306306,,1,,
5332340264,707,1,1,
5300713226,,1,,
5328737625,,1,,
5318616010,,2,,
5332259254,773,1,1,
5294558504,,2,,
5332246072,1250,2,2,
5302684101,,2,,
5332263927,,1,,
5322043363,,2,,
5321982643,1400,2,2.5,
5332420466,,1,,
5305804313,800,2,1,
5311758670,1250,2,2,
5322352664,,2,,
5332428181,575,2,1.5,
5332435285,,0,,
5332158296,384,0,1,
5314173997,,3,,
5301188631,1200,2,2,
5318629644,,1,,
5314172857,,3,,
5332385986,1000,1,1,
5332399829,500,0,1,
5324961976,1664,2,2.5,
5324806667,,1,,
5332332521,,2,,
5332329279,,1,,
5332344326,,1,,
5320361449,,3,,
5289425247,1240,2,2,
5332393722,,2,,
5332266287,470,0,1,
5332435719,735,1,1,
5304224730,1200,2,2,
5332268414,859,2,1,
5325222989,470,0,1,
5325205915,1250,2,2,
5332435758,700,1,1,
5332435455,1075,2,2,
5332436418,,3,,
5332178999,1500,3,3,
5332173207,700,1,1,
5332188486,1205,2,2,
5301762264,,2,,
5332160481,870,0,1,
5321275580,1726,4,2,
5332423785,1300,3,2,
5332345063,,3,,
5293121589,3466,4,4.5,
5295770999,,3,,
5332401313,1108,2,2,
5332394672,800,1,1,
5332402537,1371,3,2,
5323999638,800,1,800,
5313558463,1125,2,2.5,
5311394116,650,1,1,
5332346617,600,1,1,
5324749955,470,0,1,
5332252586,553,1,1,
5323695707,370,0,1,
5328573950,1100,2,2,
5323386225,1250,2,2,
5332436607,700,1,1,
5332436721,,2,,
5332437162,,3,,
5332128113,1100,2,2,
5332436728,,3,,
5332389944,1120,1,1,
5332177524,1344,3,2,
5332189677,1242,3,3,
5332184039,1230,2,2,
5324844592,,4,,
5309358338,850,2,1,
5332159024,384,0,1,
5332359139,,1,,
5332403701,718,1,1,
5291248703,1100,2,1.5,
5332346711,1202,2,2,
5332336712,1375,2,2,
5320105459,850,2,1,
5332343721,900,1,1,
5332349123,900,1,1,
5323260623,470,0,1,
5322280806,370,0,1,
5321904486,1250,2,2,
5332349751,1120,2,2,
5321899927,950,2,2,
5332429443,641,1,1,
5332251452,,2,,
5332438322,700,1,1,
5332434647,,1,,
5332439158,975,2,2,
5332439689,975,2,2,
5309442419,1706,2,2.5,
5332404087,1263,2,2,
5292649581,,0,,
5317680673,2000,4,2,
5332388653,900,1,1,
5314171338,1840,2,2.5,
5332249252,481,1,1,
5332273204,,1,,
5332279384,,0,,
5332247741,,0,,
5332277283,,2,,
5332388689,500,0,1,
5328977542,,1,,
5332278705,533,1,1,
5332320932,,0,,
5332435071,,0,,
5332440204,975,2,2,
5332440649,,0,,
