postDate,craigId,title,price,zipcode,longitude,beds,latitude,link,numPic,baths,date,updateDate,size,contentLen,reposts
"2015-11-25T13:52:28-0700,2015-11-25T13:52:28-0700",5332242904,"Beautiful NEW House in Stapleton on Private Courtyard, Next to Park !!",2650,,,3,,//denver.craigslist.org/apa/5332242904.html,23,2.5,Nov 25,"2015-11-25T13:52:28-0700,2015-11-25T13:52:28-0700",1930,13,0
"2015-11-25T15:02:26-0700,2015-11-25T15:02:26-0700",5332341151,Amazing Location! Charming 2x1 in the heart of it ALL,1395,,,2,,//denver.craigslist.org/apa/5332341151.html,8,1.0,Nov 25,"2015-11-25T15:02:26-0700,2015-11-25T15:02:26-0700",800,1,0
"2015-11-25T14:51:24-0700,2015-11-25T14:51:24-0700",5332326133,Moving in January?Don't wait pre-lease TODAY!,995,,,2,,//cosprings.craigslist.org/apa/5332326133.html,5,2.0,Nov 25,"2015-11-25T14:51:24-0700,2015-11-25T14:51:24-0700",1020,3,0
"2015-11-25T14:57:58-0700,2015-11-25T14:57:58-0700",5332335059,Black Friday Specials Here!,1355,,-105.0881,2,39.655583,//denver.craigslist.org/apa/5332335059.html,8,1.0,Nov 25,"2015-11-25T14:57:58-0700,2015-11-25T14:57:58-0700",1010,59,0
"2015-11-18T16:10:53-0700,2015-11-18T16:10:53-0700,2015-11-25T14:58:24-0700",5322203152,Beautiful Town Home,1850,,-105.004889,3,39.900379,//denver.craigslist.org/apa/5322203152.html,10,2.5,Nov 25,"2015-11-18T16:10:53-0700,2015-11-18T16:10:53-0700,2015-11-25T14:58:24-0700",1500,22,0
"2015-11-25T14:59:16-0700,2015-11-25T14:59:16-0700",5332336849,Available just in time for the New Year!,1660,,,2,,//denver.craigslist.org/apa/5332336849.html,4,2.0,Nov 25,"2015-11-25T14:59:16-0700,2015-11-25T14:59:16-0700",1204,74,0
"2015-11-25T15:03:26-0700,2015-11-25T15:03:26-0700",5332342418,Remodeled 2 bedroom pre leasing now! Move in mid December!,825,,-104.752619,2,38.835359,//cosprings.craigslist.org/apa/5332342418.html,5,1.0,Nov 25,"2015-11-25T15:03:26-0700,2015-11-25T15:03:26-0700",750,43,0
"2015-11-25T15:07:42-0700,2015-11-25T15:07:42-0700",5332348039,Awesome Location,900,,-104.900296,1,39.693157,//denver.craigslist.org/apa/5332348039.html,10,1.0,Nov 25,"2015-11-25T15:07:42-0700,2015-11-25T15:07:42-0700",670,23,0
"2015-11-20T16:54:00-0700,2015-11-20T16:54:00-0700,2015-11-25T15:00:37-0700",5325181860,You don't want to miss the gobble gobble of a deal!,1378,,-105.134857,3,39.704462,//denver.craigslist.org/apa/5325181860.html,6,1.5,Nov 25,"2015-11-20T16:54:00-0700,2015-11-20T16:54:00-0700,2015-11-25T15:00:37-0700",1050,7,0
"2015-11-25T15:04:54-0700,2015-11-25T15:04:54-0700,2015-11-25T15:16:41-0700",5332344398,Charming City Park Home 3bed/2bath (possible $300 off 1st month rent),2300,,-104.961245,3,39.76225,//denver.craigslist.org/apa/5332344398.html,17,2.0,Nov 25,"2015-11-25T15:04:54-0700,2015-11-25T15:04:54-0700,2015-11-25T15:16:41-0700",1200,15,0
"2015-11-25T15:05:20-0700,2015-11-25T15:05:20-0700",5332344987,Winter time and the move can be easy!,960,,-104.908034,1,39.678387,//denver.craigslist.org/apa/5332344987.html,4,1.0,Nov 25,"2015-11-25T15:05:20-0700,2015-11-25T15:05:20-0700",706,7,0
"2015-11-25T14:50:43-0700,2015-11-25T14:50:43-0700",5332325228,#319 Third Floor! Move Today and Get $500 Off Your Rent Today!,2740,,,2,,//denver.craigslist.org/apa/5332325228.html,8,2.0,Nov 25,"2015-11-25T14:50:43-0700,2015-11-25T14:50:43-0700",1246,26,0
"2015-11-25T15:07:34-0700,2015-11-25T15:07:34-0700",5332347868,Take A Look At These Specials At Broadstone On 9th,2220,,-104.937254,2,39.731063,//denver.craigslist.org/apa/5332347868.html,9,2.0,Nov 25,"2015-11-25T15:07:34-0700,2015-11-25T15:07:34-0700",1233,15,0
"2015-11-25T15:04:52-0700,2015-11-25T15:04:52-0700",5332344334,Loft in RINO/LODO/Ballpark/Five Points,1750,,-104.986918,1,39.758276,//denver.craigslist.org/apa/5332344334.html,8,5.5,Nov 25,"2015-11-25T15:04:52-0700,2015-11-25T15:04:52-0700",924,10,0
"2015-11-25T13:28:47-0700,2015-11-25T13:28:47-0700",5332207749,EASY APPROVAL RENTAL,675,,,3,,//denver.craigslist.org/apa/5332207749.html,0,2.0,Nov 25,"2015-11-25T13:28:47-0700,2015-11-25T13:28:47-0700",1500,41,0
"2015-11-25T15:08:12-0700,2015-11-25T15:08:12-0700,2015-11-25T15:08:44-0700",5332348739,"Bike & Ski Repair Shop, Bark Park & Paw Spa, Clubhouse with Billiards",2189,,-105.20672,2,39.727334,//denver.craigslist.org/apa/5332348739.html,8,2.0,Nov 25,"2015-11-25T15:08:12-0700,2015-11-25T15:08:12-0700,2015-11-25T15:08:44-0700",1319,32,0
"2015-11-25T15:08:45-0700,2015-11-25T15:08:45-0700",5332349545,1 bedroom/Washer and Dryer Included/Trash Included in this great value,1127,,-104.812832,1,39.970411,//denver.craigslist.org/apa/5332349545.html,15,1.0,Nov 25,"2015-11-25T15:08:45-0700,2015-11-25T15:08:45-0700",810,30,0
"2015-11-25T15:11:21-0700,2015-11-25T15:11:21-0700",5332352962,Studio w/attached parking! W/D in unit!,1390,,-104.934475,0,39.701422,//denver.craigslist.org/apa/5332352962.html,7,572.0,Nov 25,"2015-11-25T15:11:21-0700,2015-11-25T15:11:21-0700",572,25,0
"2015-11-21T11:13:46-0700,2015-11-21T11:13:46-0700,2015-11-25T15:01:15-0700",5326137611,Lease Today & Enter to Win an iPad!,1105,,-104.78689,2,38.950098,//cosprings.craigslist.org/apa/5326137611.html,12,2.0,Nov 25,"2015-11-21T11:13:46-0700,2015-11-21T11:13:46-0700,2015-11-25T15:01:15-0700",1007,4,0
"2015-11-25T15:11:22-0700,2015-11-25T15:11:22-0700",5332352993,"Available Now, Easy Access to I25, Outdoor BBQ Area",1040,,-104.900296,1,39.693157,//denver.craigslist.org/apa/5332352993.html,10,1.0,Nov 25,"2015-11-25T15:11:22-0700,2015-11-25T15:11:22-0700",750,16,0
"2015-11-25T15:02:25-0700,2015-11-25T15:02:25-0700",5332341122,"2nd Floor, Cherry Creek Schools, Central Heat/AC",1050,,-104.811349,2,39.650392,//denver.craigslist.org/apa/5332341122.html,7,1.0,Nov 25,"2015-11-25T15:02:25-0700,2015-11-25T15:02:25-0700",944,5,0
"2015-11-25T15:06:10-0700,2015-11-25T15:06:10-0700",5332346081,Immediate move in! $99 Down*******!,1518,,-105.147113,2,39.956932,//boulder.craigslist.org/apa/5332346081.html,9,1.0,Nov 25,"2015-11-25T15:06:10-0700,2015-11-25T15:06:10-0700",875,14,0
"2015-11-25T15:09:31-0700,2015-11-25T15:09:31-0700",5332350597,Come Get Your New Home Before The Holidays!!! 1 Month FREE!!!,1255,,,2,,//denver.craigslist.org/apa/5332350597.html,3,1.5,Nov 25,"2015-11-25T15:09:31-0700,2015-11-25T15:09:31-0700",911,57,0
"2015-11-25T14:50:02-0700,2015-11-25T14:50:02-0700",5332324231,Our Office is NOW OPEN! BLACK FRIDAY SPECIALS,1320,,-104.878578,1,39.530282,//denver.craigslist.org/apa/5332324231.html,6,1.0,Nov 25,"2015-11-25T14:50:02-0700,2015-11-25T14:50:02-0700",716,11,0
"2015-11-25T14:58:33-0700,2015-11-25T14:58:33-0700",5332335874,"Attached Garage Included, Just In Time!!",1713,,-104.8799,2,39.6123,//denver.craigslist.org/apa/5332335874.html,6,2.0,Nov 25,"2015-11-25T14:58:33-0700,2015-11-25T14:58:33-0700",1186,11,0
